RawKind,vegan,lactoVeg,ovoVeg,lactoOvoVeg,pescoVeg,polloVeg
콩단백발효액대두,0,0,0,0,0,0
구운땅콩,0,0,0,0,0,0
랜틸콩분말,0,0,0,0,0,0
자연숙성콩발효맛내기,0,0,0,0,0,0
우리콩양조원액,0,0,0,0,0,0
조미콩단백,0,0,0,0,0,0
땅콩버터향,0,0,0,0,0,0
콩초코스위트,0,0,0,0,0,0
일반콩가루,0,0,0,0,0,0
초코땅콩,0,0,0,0,0,0
매실콩발효액,0,0,0,0,0,0
강낭콩,0,0,0,0,0,0
콩식용유,0,0,0,0,0,0
유기농쥐눈이콩,0,0,0,0,0,0
검은콩추출액,0,0,0,0,0,0
하이올레익볶음땅콩,0,0,0,0,0,0
볶음렌틸콩,0,0,0,0,0,0
완두콩,0,0,0,0,0,0
콩발효맛내기분말,0,0,0,0,0,0
볶은렌틸콩가루,0,0,0,0,0,0
콩나물추출농축액,0,0,0,0,0,0
대두콩,0,0,0,0,0,0
땅콩계란,0,0,0,0,0,0
콩,0,0,0,0,0,0
초코크림땅콩분말,0,0,0,0,0,0
가염땅콩페이스트,0,0,0,0,0,0
땅콩강정,0,0,0,0,0,0
크리미땅콩버터,0,0,0,0,0,0
알땅콩,0,0,0,0,0,0
동결건조검은콩,0,0,0,0,0,0
볶음땅콩,0,0,0,0,0,0
국산콩된장,0,0,0,0,0,0
땅콩오일,0,0,0,0,0,0
국산콩가루,0,0,0,0,0,0
발아약콩,0,0,0,0,0,0
땅콩,0,0,0,0,0,0
콩과당,0,0,0,0,0,0
볶음콩베이스분말,0,0,0,0,0,0
콩향,0,0,0,0,0,0
메주콩,0,0,0,0,0,0
콩발효추출분물,0,0,0,0,0,0
콩가루,0,0,0,0,0,0
구운렌틸콩,0,0,0,0,0,0
이가네볶음콩가루,0,0,0,0,0,0
땅콩볶음분,0,0,0,0,0,0
볶음땅콩분말,0,0,0,0,0,0
콩고물,0,0,0,0,0,0
자연콩발효액,0,0,0,0,0,0
렌즈콩,0,0,0,0,0,0
땅콩혼합분말,0,0,0,0,0,0
땅콩또는견과류가공품,0,0,0,0,0,0
햇살콩국산두부,0,0,0,0,0,0
구수한메주콩된장,0,0,0,0,0,0
렌팅콩분말,0,0,0,0,0,0
콩간장,0,0,0,0,0,0
완두콩과립,0,0,0,0,0,0
대두볶음콩가루,0,0,0,0,0,0
콩단백분말,0,0,0,0,0,0
콩고물가루,0,0,0,0,0,0
코팅땅콩반태,0,0,0,0,0,0
콩발효추출물분말,0,0,0,0,0,0
완두콩퓨레,0,0,0,0,0,0
콩기름,0,0,0,0,0,0
녹차와사비완두콩,0,0,0,0,0,0
호경콩단백,0,0,0,0,0,0
해찬들콩발효메주된장,0,0,0,0,0,0
콩나물추출물분말,0,0,0,0,0,0
콩발효맛내기,0,0,0,0,0,0
강낭콩앙금,0,0,0,0,0,0
땅콩소보루,0,0,0,0,0,0
국산콩메주,0,0,0,0,0,0
렌틸콩생나또,0,0,0,0,0,0
배합땅콩버터,0,0,0,0,0,0
발아약콩분말,0,0,0,0,0,0
건완두콩,0,0,0,0,0,0
검은콩가루,0,0,0,0,0,0
볶은렌틸콩,0,0,0,0,0,0
땅콩분,0,0,0,0,0,0
땅콩전지,0,0,0,0,0,0
로커스트콩염,0,0,0,0,0,0
로코스트콩검,0,0,0,0,0,0
볶음콩가루,0,0,0,0,0,0
병아리콩볶음,0,0,0,0,0,0
렌탈콩,0,0,0,0,0,0
땅콩맛크림,0,0,0,0,0,0
새우땅콩볼,0,0,0,0,0,0
땅콩분말,0,0,0,0,0,0
율무땅콩,0,0,0,0,0,0
국산콩두유액,0,0,0,0,0,0
홍콩치킨베터,0,0,0,0,0,0
커피땅콩분태,0,0,0,0,0,0
동결건조검정콩,0,0,0,0,0,0
콩비지,0,0,0,0,0,0
조미콩단백분,0,0,0,0,0,0
검정콩가루,0,0,0,0,0,0
콩나물,0,0,0,0,0,0
땅콩함유,0,0,0,0,0,0
볶음땅콩반태,0,0,0,0,0,0
냉동콩국물,0,0,0,0,0,0
국산검은콩,0,0,0,0,0,0
볶음렌틸콩분말,0,0,0,0,0,0
탈지땅콩분말,0,0,0,0,0,0
콩나물엑기스분말,0,0,0,0,0,0
콩고물향,0,0,0,0,0,0
열풍병아리콩,0,0,0,0,0,0
국산콩,0,0,0,0,0,0
약콩분말,0,0,0,0,0,0
콩코드포도농축액,0,0,0,0,0,0
검정콩고형분,0,0,0,0,0,0
꿀탕콩,0,0,0,0,0,0
볶은렌틸콩분말,0,0,0,0,0,0
그린콩,0,0,0,0,0,0
검정콩볶은분말,0,0,0,0,0,0
쥐눈이콩,0,0,0,0,0,0
흰강낭콩,0,0,0,0,0,0
볶은콩향오일,0,0,0,0,0,0
자연숙성콩발효액깊은맛,0,0,0,0,0,0
자연숙성콩발효액,0,0,0,0,0,0
홀레드렌틸콩분말,0,0,0,0,0,0
로거스트콩검,0,0,0,0,0,0
땅콩반태,0,0,0,0,0,0
검은콩,0,0,0,0,0,0
콩고물아몬드,0,0,0,0,0,0
스키피땅콩버터크리미,0,0,0,0,0,0
콩나물잡채,0,0,0,0,0,0
