rawMtrl,allergy,isCrossReact,probablility
닭육수,null,0,null
닭고기향,null,0,null
닭곱창,null,0,null
굽네닭가슴살오리지널씨즈닝,null,0,null
불닭맛씨즈닝에스와이,null,0,null
동해닭강정염지제,null,0,null
국내산닭가슴살,null,0,null
닭근위,null,0,null
국내산닭가슴살정육,null,0,null
닭발육수,null,0,null
조미닭가슴살후레이크,null,0,null
닭가슴살용염지제,null,0,null
삶은닭다리살,null,0,null
매콤불닭양념,null,0,null
닭발효소분해물,null,0,null
액상스프중닭고기함량,null,0,null
닭강정핫베이스,null,0,null
하림닭육수,null,0,null
불닭볶음맛씨즈닝,null,0,null
닭고기분해액,null,0,null
불오닭소스,null,0,null
통닭발,null,0,null
매콤닭발양념장,null,0,null
닭발,null,0,null
닭다리,null,0,null
불닭소스,null,0,null
치즈불닭맛씨즈닝,null,0,null
치즈불닭소스,null,0,null
아임닭카레,null,0,null
닭육수분말베이스,null,0,null
달콤한닭강정소스,null,0,null
닭고기조미분말,null,0,null
닭가슴살정육,null,0,null
닭안심,null,0,null
닭고기지방,null,0,null
닭가슴살순양념,null,0,null
국산닭고기,null,0,null
닭볶음탕양념,null,0,null
허닭시즈닝,null,0,null
하림닭육슈,null,0,null
닭간,null,0,null
닭가슴살분말,null,0,null
무뼈닭발양념,null,0,null
닭다리정육,null,0,null
닭강정맛소스,null,0,null
조미닭고기후레이트,null,0,null
매콤한닭강정소스,null,0,null
화끈불닭소스,null,0,null
닭갈비조미분,null,0,null
불닭볶음맛떡볶이시즈닝,null,0,null
삶은닭발,null,0,null
닭스킨,null,0,null
닭고기안심,null,0,null
닭정육,null,0,null
농축닭고기부용,null,0,null
아임닭소스,null,0,null
닭갈비용양념매운맛,null,0,null
아임닭프랑크소시지시즈닝,null,0,null
수비드닭다리살,null,0,null
불닭구이소스,null,0,null
닭조림양념장,null,0,null
닭갈비볶음,null,0,null
닭볶음소스,null,0,null
마이일반응된닭고기향,null,0,null
닭고기진육,null,0,null
닭고기우엉덮밥,null,0,null
닭육수농축액,null,0,null
닭발발,null,0,null
삼계닭,null,0,null
닭강정파우더,null,0,null
닭갈비맛양념장,null,0,null
무항생제닭가슴살,null,0,null
닭강정소스,null,0,null
닭가슴살,null,0,null
힘닭가슴살,null,0,null
찜닭소스,null,0,null
닭백숙분말,null,0,null
진한닭육수,null,0,null
